Age,Income,Monthly_Expenses,Existing_Investments,Financial_Goals,Risk_Tolerance,Family_Size,Debt_Obligations,Hobbies_Interests,Investment_Preferences
58,62658,5601,130978,Buying a House,High,2,12730,Travel,Real Estate
48,49823,5272,120536,Buying a House,Medium,2,-8294,Gaming,Stocks
34,98776,4122,173086,Buying a House,Low,4,14460,Reading,ETFs
62,74173,5959,108052,Education,High,1,33087,Gaming,ETFs
27,78479,2643,118713,Buying a House,Low,3,-722,Cooking,Real Estate
40,93157,3545,8074,Education,Low,2,10480,Reading,Stocks
58,74824,2683,50586,Buying a House,Low,1,24390,Reading,Stocks
38,84028,5173,10864,Education,High,1,-2448,Gaming,Stocks
42,91317,3126,128630,Buying a House,Medium,2,14893,Sports,Mutual Funds
30,86335,3743,117434,Retirement,Low,1,31408,Reading,ETFs
30,80719,4926,115676,Retirement,Low,2,40430,Cooking,ETFs
43,110662,5047,55928,Retirement,Low,2,22902,Sports,Mutual Funds
55,99839,2639,51352,Retirement,Medium,2,10735,Sports,Bonds
59,73284,5584,110472,Buying a House,Medium,3,10398,Sports,Mutual Funds
43,56806,4683,66530,Retirement,High,2,21449,Reading,Stocks
22,87772,2377,48979,Education,Medium,4,22809,Sports,Mutual Funds
41,79317,2008,74580,Retirement,High,1,38579,Gaming,Stocks
21,109179,3976,66962,Retirement,High,3,29708,Sports,Real Estate
43,94749,5275,56663,Retirement,High,1,20841,Cooking,Stocks
63,90284,5313,38711,Buying a House,High,3,16647,Travel,ETFs
49,75259,4534,122434,Retirement,High,4,50147,Cooking,Mutual Funds
57,57486,4073,177802,Education,Low,3,26265,Reading,Stocks
21,71040,4767,98049,Retirement,Medium,3,13312,Sports,Bonds
40,84536,2717,111121,Retirement,Low,3,17753,Sports,Real Estate
52,40408,6530,126818,Retirement,High,1,11225,Gaming,Bonds
31,99834,6510,118328,Education,Medium,2,-4045,Sports,Bonds
41,116340,4643,57654,Retirement,Low,1,23126,Cooking,Bonds
63,36101,4295,185992,Education,Low,2,37824,Reading,Real Estate
44,46995,3382,62134,Education,High,1,3694,Travel,Real Estate
68,79593,4793,132404,Retirement,Low,4,20552,Sports,Real Estate
46,63348,2963,126509,Education,Low,4,12930,Travel,Real Estate
61,80218,664,2077,Buying a House,Low,3,25215,Sports,Bonds
47,73566,-71,82057,Retirement,Low,4,18276,Reading,ETFs
35,54523,2800,102831,Retirement,Low,3,6399,Cooking,ETFs
34,100768,4234,106657,Education,High,2,10188,Reading,Real Estate
66,84290,4497,115071,Education,High,4,11696,Travel,Mutual Funds
63,63805,3269,137883,Retirement,Low,2,33443,Sports,Stocks
22,105100,4212,99624,Buying a House,High,1,32932,Travel,Mutual Funds
56,64831,3588,117730,Education,High,2,16886,Cooking,Mutual Funds
26,50163,2501,97752,Education,Medium,1,32278,Reading,Mutual Funds
40,78670,3919,49133,Buying a House,Low,2,18268,Travel,ETFs
28,82063,5219,101620,Buying a House,High,2,16733,Travel,Stocks
58,85638,2568,137454,Retirement,High,4,20571,Cooking,Mutual Funds
37,88927,2569,155439,Buying a House,Low,2,22848,Sports,Real Estate
23,85322,2396,126865,Retirement,Medium,4,14445,Travel,ETFs
44,84509,1095,166717,Buying a House,Low,4,20218,Cooking,Real Estate
33,63524,3279,120943,Education,Medium,3,27873,Sports,Real Estate
69,61385,5071,143193,Retirement,Low,3,21295,Sports,Mutual Funds
28,89847,4260,146869,Retirement,Low,1,20427,Reading,Real Estate
45,79869,3746,88832,Retirement,Low,2,24941,Cooking,Stocks
21,91404,4193,136300,Buying a House,Low,1,26667,Sports,Real Estate
39,40854,3266,52967,Education,Medium,2,19373,Reading,Mutual Funds
47,64984,1078,117490,Retirement,Medium,3,15258,Gaming,Real Estate
66,113140,5175,128851,Retirement,High,3,21892,Cooking,ETFs
26,86050,5606,152554,Retirement,Low,2,4060,Gaming,ETFs
63,80911,2907,141037,Retirement,Medium,2,17896,Sports,ETFs
27,89158,3773,153205,Education,Medium,3,-4715,Cooking,Bonds
66,119169,3644,95030,Buying a House,Medium,3,3242,Reading,ETFs
54,114960,4526,82730,Education,Low,1,1738,Sports,ETFs
33,43409,6534,86255,Retirement,High,3,30473,Cooking,Bonds
36,50789,5739,113314,Education,Medium,2,20139,Cooking,ETFs
55,42731,3434,9562,Retirement,Low,1,7379,Gaming,Mutual Funds
69,60057,4813,166587,Buying a House,Medium,2,24910,Sports,ETFs
59,76098,5881,102193,Buying a House,Medium,4,29886,Reading,ETFs
23,79840,4612,79249,Buying a House,High,1,25084,Reading,Bonds
21,44390,3992,-26485,Retirement,Medium,2,18112,Sports,Mutual Funds
25,37652,4669,98159,Education,Medium,3,22324,Sports,Real Estate
61,59704,2945,90076,Buying a House,Low,4,29014,Travel,Stocks
23,93323,3164,55147,Retirement,Low,2,15307,Gaming,Mutual Funds
48,96807,2403,66347,Retirement,High,1,20298,Sports,Real Estate
37,109116,4460,98668,Education,Low,2,17428,Sports,Mutual Funds
45,74353,3802,70588,Buying a House,Low,4,3865,Travel,Real Estate
63,91563,2765,128593,Retirement,High,1,29165,Travel,Real Estate
53,95197,3753,62560,Education,Medium,4,40572,Cooking,Mutual Funds
29,65062,4704,107730,Buying a House,High,2,11262,Reading,Bonds
55,82756,6872,159002,Education,Low,3,29626,Gaming,Mutual Funds
33,88174,5518,98170,Education,High,3,11580,Cooking,Mutual Funds
50,56816,573,117798,Retirement,Medium,2,21327,Sports,Real Estate
67,107841,4358,114632,Retirement,High,2,35080,Travel,Stocks
34,74223,6143,100399,Retirement,Low,2,14795,Reading,Real Estate
27,76740,1993,96649,Education,Low,1,19853,Cooking,ETFs
33,56053,4827,71431,Retirement,High,4,1984,Reading,Mutual Funds
42,59411,3645,107550,Education,Medium,4,13357,Travel,Mutual Funds
59,31069,5725,85836,Education,High,4,937,Cooking,Bonds
40,76103,4606,177304,Retirement,Medium,2,24291,Cooking,Real Estate
35,125113,2673,140557,Buying a House,Medium,4,28316,Reading,Bonds
64,54627,3698,27360,Buying a House,High,2,17783,Travel,Mutual Funds
37,134523,3787,30142,Buying a House,Medium,1,22858,Sports,Real Estate
66,103285,3815,93477,Education,Low,3,16742,Cooking,Real Estate
43,65528,5678,80234,Education,High,2,27405,Sports,ETFs
45,75545,2736,90840,Education,Medium,2,21294,Travel,ETFs
44,72297,5504,132558,Retirement,Low,3,143,Cooking,Stocks
64,109123,3546,115786,Education,High,3,29399,Cooking,ETFs
60,85340,4335,115281,Retirement,Low,1,16104,Sports,Real Estate
48,98639,4108,172309,Retirement,Low,4,7296,Gaming,ETFs
34,82163,3967,30555,Buying a House,Low,2,15610,Sports,Stocks
64,72760,3979,105196,Buying a House,Medium,4,979,Sports,Mutual Funds
20,81528,6186,71047,Buying a House,High,2,7501,Gaming,ETFs
44,66861,5263,171771,Retirement,High,1,21429,Travel,Real Estate
26,45955,3455,-10467,Retirement,Medium,3,22267,Travel,Mutual Funds
28,91273,6374,-8274,Retirement,High,1,23064,Cooking,Real Estate
43,44976,4412,115231,Education,Low,3,20032,Reading,Mutual Funds
20,69623,4536,156314,Retirement,High,4,13071,Reading,Real Estate
63,66202,2744,138662,Buying a House,Medium,4,19455,Cooking,ETFs
27,87867,3253,59950,Buying a House,Low,1,15627,Reading,ETFs
43,106294,2967,175321,Retirement,Medium,3,3742,Sports,Stocks
30,99099,4129,38426,Retirement,Low,1,12275,Sports,Mutual Funds
36,88448,4958,165374,Buying a House,Low,3,28895,Gaming,Stocks
27,62402,4550,45038,Retirement,High,3,35882,Gaming,Bonds
54,71330,6382,82408,Buying a House,Low,4,26512,Cooking,ETFs
54,68414,2668,131963,Education,Medium,4,35436,Cooking,Mutual Funds
52,65594,4172,26689,Buying a House,High,3,20853,Cooking,Stocks
24,66950,2075,173451,Education,Medium,3,37423,Sports,Stocks
61,66417,2617,82102,Retirement,Low,3,40544,Reading,Bonds
58,65531,5896,106863,Retirement,Medium,4,2665,Cooking,Stocks
60,94037,3305,158110,Education,Medium,4,22214,Cooking,Real Estate
47,53907,2794,60343,Retirement,Low,2,20864,Sports,ETFs
26,60410,805,153040,Education,High,3,15758,Sports,Stocks
28,43331,2779,182026,Retirement,Medium,2,24919,Sports,Stocks
27,103309,3692,67221,Buying a House,Low,3,20411,Reading,Bonds
31,59069,1963,168469,Retirement,High,4,12645,Cooking,Real Estate
53,88215,3605,11971,Buying a House,High,2,19733,Travel,Stocks
52,84506,5905,119480,Buying a House,High,2,32045,Travel,ETFs
67,101376,2939,38570,Education,Medium,1,21825,Cooking,ETFs
42,70799,2584,147128,Retirement,Medium,3,26269,Cooking,Stocks
43,56049,2314,143022,Education,Medium,4,17229,Cooking,Real Estate
